image,width,height,resolution
0000002_00005_d_0000014,960,540,960x540
0000002_00448_d_0000015,960,540,960x540
0000003_00231_d_0000016,960,540,960x540
0000007_04999_d_0000036,1360,765,1360x765
0000007_05499_d_0000037,1360,765,1360x765
0000007_05999_d_0000038,1360,765,1360x765
0000008_00889_d_0000039,1360,765,1360x765
0000008_01999_d_0000040,1360,765,1360x765
0000008_02499_d_0000041,1360,765,1360x765
0000008_02999_d_0000042,1360,765,1360x765
0000008_03499_d_0000043,1360,765,1360x765
0000008_03999_d_0000044,1360,765,1360x765
0000008_04499_d_0000045,1360,765,1360x765
0000010_00569_d_0000056,1360,765,1360x765
0000010_05149_d_0000057,1360,765,1360x765
0000010_05291_d_0000058,1360,765,1360x765
0000013_00465_d_0000067,960,540,960x540
0000016_00420_d_0000068,960,540,960x540
0000016_01352_d_0000069,960,540,960x540
0000030_00754_d_0000036,960,540,960x540
0000031_00000_d_0000037,960,540,960x540
0000031_02000_d_0000041,960,540,960x540
0000031_03527_d_0000043,960,540,960x540
0000036_00500_d_0000046,960,540,960x540
0000036_03591_d_0000048,960,540,960x540
0000037_01494_d_0000052,960,540,960x540
0000039_00000_d_0000055,960,540,960x540
0000039_05300_d_0000061,960,540,960x540
0000039_05625_d_0000062,960,540,960x540
0000040_01000_d_0000066,960,540,960x540
0000040_01500_d_0000067,960,540,960x540
0000040_02454_d_0000068,960,540,960x540
0000040_03288_d_0000069,960,540,960x540
0000040_03752_d_0000070,960,540,960x540
0000040_04284_d_0000071,960,540,960x540
0000042_01000_d_0000074,960,540,960x540
0000042_02231_d_0000075,960,540,960x540
0000042_02421_d_0000076,960,540,960x540
0000043_00500_d_0000077,960,540,960x540
0000045_00000_d_0000083,960,540,960x540
0000045_00500_d_0000084,960,540,960x540
0000045_01032_d_0000085,960,540,960x540
0000045_01500_d_0000086,960,540,960x540
0000046_00000_d_0000087,960,540,960x540
0000046_00720_d_0000088,960,540,960x540
0000047_01000_d_0000090,960,540,960x540
0000047_02500_d_0000093,960,540,960x540
0000047_03500_d_0000095,960,540,960x540
0000048_01989_d_0000098,960,540,960x540
0000050_00500_d_0000104,960,540,960x540
0000056_00727_d_0000111,960,540,960x540
0000059_01886_d_0000114,960,540,960x540
0000068_00001_d_0000001,1360,765,1360x765
0000068_00460_d_0000002,1360,765,1360x765
0000068_00571_d_0000003,1360,765,1360x765
0000068_01001_d_0000004,1360,765,1360x765
