epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,658.645,2.1037,0.21006,0.62842,0.226,0.04952,0.02367,0.00882,1.25681,0.5605,0.21345,3.33127e-05,3.33127e-05,0.0667206
2,1294.71,1.62694,0.38961,0.33886,0.44277,0.0961,0.04029,0.0209,1.03351,0.61213,0.14359,6.59863e-05,6.59863e-05,0.0334199
3,1924.17,1.37798,0.49129,0.26478,0.21428,0.14374,0.05759,0.03165,0.93189,0.64476,0.12511,9.79998e-05,9.79998e-05,0.000118601
4,2559.05,1.27316,0.5057,0.23146,0.29772,0.2459,0.11274,0.06402,0.81113,0.64816,0.09756,9.703e-05,9.703e-05,9.703e-05
5,3202.8,1.16282,0.54134,0.1897,0.26247,0.27725,0.14855,0.0891,0.72129,0.66993,0.08073,9.604e-05,9.604e-05,9.604e-05
6,3834.85,1.13347,0.51518,0.18145,0.43641,0.28742,0.21938,0.13024,0.71659,0.60944,0.08012,9.505e-05,9.505e-05,9.505e-05
7,4459.43,1.10172,0.49934,0.17441,0.4071,0.32456,0.24301,0.14311,0.70323,0.59234,0.07971,9.406e-05,9.406e-05,9.406e-05
8,5085.84,1.0819,0.49232,0.1712,0.42499,0.35143,0.27888,0.1682,0.68269,0.58736,0.07546,9.307e-05,9.307e-05,9.307e-05
9,5719.18,1.06595,0.48665,0.1654,0.44992,0.37366,0.29999,0.18005,0.67476,0.58275,0.07414,9.208e-05,9.208e-05,9.208e-05
10,6351.43,1.04476,0.48487,0.16023,0.47308,0.3948,0.33428,0.19732,0.66079,0.5754,0.07109,9.109e-05,9.109e-05,9.109e-05
11,6981.33,1.02574,0.47922,0.15376,0.4773,0.39628,0.34511,0.20764,0.65437,0.56618,0.06952,9.01e-05,9.01e-05,9.01e-05
12,7611.87,0.9984,0.48542,0.14738,0.49095,0.40807,0.35976,0.21282,0.65527,0.57055,0.07003,8.911e-05,8.911e-05,8.911e-05
13,8246.06,1.00069,0.47703,0.14962,0.51239,0.41799,0.36977,0.22059,0.6435,0.55893,0.0677,8.812e-05,8.812e-05,8.812e-05
14,8880.71,0.98307,0.47746,0.14529,0.52924,0.39161,0.35148,0.21005,0.63506,0.55854,0.06727,8.713e-05,8.713e-05,8.713e-05
15,9509.29,0.97128,0.47331,0.13976,0.55393,0.41849,0.38774,0.23437,0.63585,0.55097,0.06635,8.614e-05,8.614e-05,8.614e-05
16,10137.3,0.9651,0.47349,0.13946,0.53127,0.4271,0.39186,0.23625,0.62888,0.5557,0.06591,8.515e-05,8.515e-05,8.515e-05
17,10766,0.95364,0.47225,0.13528,0.54331,0.44678,0.40802,0.24765,0.62644,0.54678,0.06477,8.416e-05,8.416e-05,8.416e-05
18,11394.8,0.94445,0.47116,0.13473,0.52865,0.44259,0.40483,0.24697,0.62349,0.55318,0.06535,8.317e-05,8.317e-05,8.317e-05
19,12033,0.94463,0.47367,0.13661,0.54857,0.44352,0.41106,0.24843,0.62762,0.54577,0.06594,8.218e-05,8.218e-05,8.218e-05
20,12665.4,0.93476,0.4714,0.13172,0.55576,0.45899,0.4257,0.25355,0.63132,0.54146,0.06606,8.119e-05,8.119e-05,8.119e-05
21,13292.6,0.9228,0.46769,0.12885,0.56407,0.45101,0.41526,0.2527,0.6215,0.54375,0.0647,8.02e-05,8.02e-05,8.02e-05
22,13919.2,0.92556,0.4692,0.13026,0.55177,0.45883,0.42173,0.25583,0.62403,0.53721,0.06483,7.921e-05,7.921e-05,7.921e-05
23,14548.2,0.92069,0.46653,0.12793,0.56456,0.45478,0.4164,0.25359,0.61994,0.54426,0.06444,7.822e-05,7.822e-05,7.822e-05
24,15181.6,0.92593,0.46457,0.13048,0.56084,0.45617,0.42171,0.25611,0.62053,0.54,0.0646,7.723e-05,7.723e-05,7.723e-05
25,15811.5,0.9113,0.46483,0.12602,0.5728,0.46704,0.4349,0.26478,0.61583,0.53758,0.06415,7.624e-05,7.624e-05,7.624e-05
26,16449.9,0.90938,0.46617,0.12559,0.55665,0.47327,0.43751,0.26677,0.60566,0.54726,0.06151,7.525e-05,7.525e-05,7.525e-05
27,17122.1,0.90082,0.46555,0.12577,0.58033,0.47423,0.44249,0.27098,0.6084,0.53357,0.06159,7.426e-05,7.426e-05,7.426e-05
28,17789.8,0.90353,0.46291,0.12672,0.57798,0.48002,0.44989,0.27444,0.61336,0.53185,0.06256,7.327e-05,7.327e-05,7.327e-05
29,18442.7,0.90386,0.46045,0.12437,0.58556,0.47923,0.44994,0.27408,0.61045,0.53199,0.06225,7.228e-05,7.228e-05,7.228e-05
30,19101.3,0.89427,0.46128,0.1222,0.58172,0.47676,0.44187,0.26993,0.60776,0.53248,0.06185,7.129e-05,7.129e-05,7.129e-05
31,19767.1,0.88487,0.4642,0.12341,0.5904,0.47245,0.4459,0.27177,0.60345,0.53162,0.06129,7.03e-05,7.03e-05,7.03e-05
32,20407.3,0.89486,0.46604,0.12356,0.59793,0.48334,0.45233,0.27671,0.60053,0.53236,0.06081,6.931e-05,6.931e-05,6.931e-05
33,21081.7,0.90211,0.45841,0.12548,0.59363,0.48662,0.45755,0.28082,0.59845,0.53118,0.06042,6.832e-05,6.832e-05,6.832e-05
34,21724.8,0.89365,0.46775,0.12275,0.60758,0.49438,0.46199,0.2856,0.59662,0.53173,0.06029,6.733e-05,6.733e-05,6.733e-05
35,22401.1,0.87712,0.45824,0.12057,0.6067,0.49581,0.4674,0.28774,0.59452,0.52964,0.06053,6.634e-05,6.634e-05,6.634e-05
36,23059.5,0.88196,0.4585,0.11933,0.6028,0.49408,0.46371,0.28581,0.59313,0.5294,0.05968,6.535e-05,6.535e-05,6.535e-05
37,23689.1,0.87706,0.45719,0.12036,0.60109,0.49357,0.4647,0.28608,0.58796,0.53007,0.05895,6.436e-05,6.436e-05,6.436e-05
38,24323.4,0.87471,0.45705,0.11913,0.60129,0.50493,0.4757,0.29134,0.59815,0.52784,0.06065,6.337e-05,6.337e-05,6.337e-05
39,24953.4,0.87261,0.45375,0.11743,0.60874,0.50224,0.47801,0.29389,0.5941,0.52614,0.06017,6.238e-05,6.238e-05,6.238e-05
40,25579.5,0.85703,0.45944,0.11428,0.61431,0.48987,0.46361,0.28611,0.59359,0.52591,0.05966,6.139e-05,6.139e-05,6.139e-05
41,26205.7,0.88045,0.45337,0.12155,0.61495,0.50353,0.47899,0.29414,0.59209,0.52654,0.06058,6.04e-05,6.04e-05,6.04e-05
42,26835.2,0.86203,0.45536,0.11807,0.61508,0.4993,0.47966,0.29596,0.58953,0.52835,0.05923,5.941e-05,5.941e-05,5.941e-05
43,27463,0.8577,0.4541,0.11842,0.59846,0.50434,0.47601,0.29481,0.59196,0.52621,0.06037,5.842e-05,5.842e-05,5.842e-05
44,28103.9,0.87282,0.45379,0.12263,0.61781,0.49737,0.4768,0.29502,0.59197,0.52746,0.05991,5.743e-05,5.743e-05,5.743e-05
