epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,167.901,1.68654,1.97048,1.15017,0.3042,0.26207,0.21077,0.118,1.51996,1.4617,1.07019,0.000333127,0.000333127,0.0670204
2,327.998,1.5829,1.55354,1.09949,0.34913,0.30255,0.23952,0.14052,1.4579,1.33493,1.0567,0.000659863,0.000659863,0.0340138
3,485.974,1.55375,1.45733,1.08272,0.3952,0.3462,0.29682,0.1694,1.44478,1.2496,1.04868,0.000979998,0.000979998,0.0010006
4,643.953,1.5295,1.40402,1.076,0.41234,0.34048,0.29935,0.17481,1.42374,1.21889,1.04147,0.0009703,0.0009703,0.0009703
5,800.744,1.50917,1.34829,1.06322,0.44064,0.35972,0.32683,0.18927,1.40285,1.18945,1.02967,0.0009604,0.0009604,0.0009604
6,956.431,1.50633,1.32716,1.05641,0.44802,0.36945,0.3377,0.19581,1.39178,1.1524,1.0236,0.0009505,0.0009505,0.0009505
7,1111.42,1.49869,1.29102,1.05177,0.45857,0.37822,0.34892,0.20525,1.38413,1.14451,1.02253,0.0009406,0.0009406,0.0009406
8,1265.45,1.48051,1.26827,1.04702,0.47285,0.38358,0.36246,0.21243,1.37904,1.11299,1.02132,0.0009307,0.0009307,0.0009307
9,1422.65,1.48376,1.26714,1.04551,0.47854,0.38169,0.36675,0.21578,1.36829,1.11967,1.0197,0.0009208,0.0009208,0.0009208
10,1576.16,1.46719,1.24263,1.04138,0.46985,0.388,0.36892,0.21771,1.36567,1.12235,1.01646,0.0009109,0.0009109,0.0009109
11,1733.93,1.46755,1.22813,1.04075,0.46272,0.38887,0.36355,0.21513,1.3628,1.11068,1.01122,0.000901,0.000901,0.000901
12,1891.8,1.46035,1.2246,1.03611,0.48045,0.39967,0.38305,0.22563,1.36353,1.08026,1.01506,0.0008911,0.0008911,0.0008911
13,2046.76,1.45364,1.20853,1.03964,0.49261,0.3974,0.38243,0.22358,1.36871,1.08426,1.01058,0.0008812,0.0008812,0.0008812
14,2201.66,1.44979,1.20717,1.03815,0.47767,0.41319,0.38849,0.22705,1.36438,1.07728,1.01049,0.0008713,0.0008713,0.0008713
15,2358.09,1.43629,1.18391,1.0321,0.48516,0.41471,0.39521,0.23391,1.35311,1.06464,1.00766,0.0008614,0.0008614,0.0008614
16,2515.39,1.43879,1.1871,1.03151,0.49006,0.40642,0.39101,0.23235,1.34162,1.06337,1.00564,0.0008515,0.0008515,0.0008515
17,2667.52,1.43891,1.17051,1.02864,0.49457,0.41333,0.39785,0.23444,1.35247,1.05913,1.01041,0.0008416,0.0008416,0.0008416
18,2821.91,1.43624,1.17139,1.02765,0.49632,0.40786,0.39897,0.23526,1.34646,1.05691,1.0063,0.0008317,0.0008317,0.0008317
19,2975.62,1.42803,1.15978,1.02353,0.50937,0.41156,0.40512,0.24005,1.34093,1.04502,1.00409,0.0008218,0.0008218,0.0008218
20,3126.21,1.42837,1.15761,1.02589,0.51211,0.41285,0.40489,0.2408,1.33465,1.04256,1.00289,0.0008119,0.0008119,0.0008119
21,3283.04,1.42328,1.14746,1.02282,0.50469,0.42793,0.40911,0.24251,1.33213,1.03898,1.00096,0.000802,0.000802,0.000802
22,3435.33,1.4287,1.14491,1.0243,0.50515,0.41725,0.4102,0.24636,1.32524,1.02363,1.00007,0.0007921,0.0007921,0.0007921
23,3590.9,1.42092,1.13673,1.01991,0.50631,0.42195,0.41064,0.24544,1.33072,1.03691,0.998,0.0007822,0.0007822,0.0007822
24,3743.54,1.41066,1.12509,1.0212,0.53057,0.416,0.41343,0.24668,1.32883,1.0295,0.99975,0.0007723,0.0007723,0.0007723
25,3899.86,1.41885,1.13348,1.01874,0.51836,0.42291,0.41453,0.24627,1.32869,1.02615,0.99814,0.0007624,0.0007624,0.0007624
26,4055.73,1.40912,1.12395,1.01711,0.51486,0.43376,0.42066,0.25091,1.32273,1.01839,0.99453,0.0007525,0.0007525,0.0007525
27,4210.26,1.40669,1.11708,1.01684,0.51941,0.43212,0.42244,0.25306,1.31981,1.01746,0.99426,0.0007426,0.0007426,0.0007426
