epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,184.007,1.68647,1.91391,1.1372,0.30675,0.27122,0.21429,0.12087,1.51446,1.45421,1.08083,0.000333127,0.000333127,0.0670204
2,354.819,1.58982,1.53835,1.09036,0.35783,0.31766,0.26174,0.15106,1.45087,1.3133,1.05062,0.000659863,0.000659863,0.0340138
3,524.646,1.55493,1.45255,1.07877,0.40505,0.34584,0.29583,0.16839,1.44604,1.26808,1.04082,0.000979998,0.000979998,0.0010006
4,693.81,1.53806,1.38419,1.0632,0.4453,0.35642,0.32422,0.18894,1.41486,1.19444,1.03286,0.0009703,0.0009703,0.0009703
5,862.394,1.52129,1.34528,1.05566,0.44718,0.35693,0.33073,0.19402,1.40678,1.18462,1.02755,0.0009604,0.0009604,0.0009604
6,1029.54,1.5079,1.3123,1.04989,0.44716,0.37463,0.34279,0.19995,1.41171,1.14792,1.02745,0.0009505,0.0009505,0.0009505
7,1191.7,1.4939,1.29529,1.0471,0.47427,0.38782,0.36206,0.21306,1.3749,1.11923,1.01863,0.0009406,0.0009406,0.0009406
8,1354.95,1.48421,1.27078,1.04244,0.46863,0.396,0.36673,0.21337,1.37924,1.12245,1.01966,0.0009307,0.0009307,0.0009307
9,1517.92,1.4884,1.26339,1.0403,0.47719,0.3934,0.37462,0.22136,1.36383,1.11477,1.01333,0.0009208,0.0009208,0.0009208
10,1678.05,1.47649,1.24731,1.03961,0.48771,0.3981,0.38105,0.2222,1.37314,1.11913,1.01282,0.0009109,0.0009109,0.0009109
11,1839.36,1.46952,1.22528,1.03347,0.4744,0.40733,0.37957,0.22131,1.36257,1.09742,1.01455,0.000901,0.000901,0.000901
12,1999.61,1.45772,1.21471,1.03327,0.49281,0.41958,0.39516,0.23242,1.3598,1.06967,1.00901,0.0008911,0.0008911,0.0008911
13,2164.99,1.45974,1.21094,1.02826,0.48568,0.40414,0.38895,0.22997,1.35133,1.07422,1.00562,0.0008812,0.0008812,0.0008812
14,2325.44,1.45216,1.1967,1.02742,0.49325,0.41793,0.40135,0.23773,1.34631,1.0659,1.00592,0.0008713,0.0008713,0.0008713
15,2485.84,1.44005,1.17423,1.02104,0.48985,0.41509,0.40202,0.23665,1.34426,1.04779,1.00622,0.0008614,0.0008614,0.0008614
16,2649,1.45125,1.17977,1.02537,0.5052,0.41625,0.40257,0.23732,1.33844,1.0536,1.00103,0.0008515,0.0008515,0.0008515
17,2812.94,1.43844,1.17375,1.02101,0.5059,0.41621,0.40789,0.24332,1.3337,1.04348,1.00282,0.0008416,0.0008416,0.0008416
