epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,296.199,1.68498,1.91563,1.13798,0.28451,0.28329,0.21033,0.11864,1.51145,1.45565,1.08791,0.000333127,0.000333127,0.0670204
2,601.566,1.58856,1.53606,1.09136,0.36888,0.3282,0.27096,0.15411,1.43842,1.27891,1.055,0.000659863,0.000659863,0.0340138
3,903.887,1.55467,1.45279,1.07929,0.39965,0.33769,0.29417,0.1669,1.46132,1.26199,1.04871,0.000979998,0.000979998,0.0010006
4,1180.09,1.53857,1.38556,1.06374,0.42915,0.35439,0.32348,0.18833,1.41074,1.19177,1.03209,0.0009703,0.0009703,0.0009703
5,1478.16,1.52099,1.34641,1.05692,0.46007,0.35333,0.33324,0.19514,1.40103,1.17691,1.02843,0.0009604,0.0009604,0.0009604
6,1756.62,1.50704,1.31752,1.05078,0.44139,0.37721,0.34963,0.20321,1.40659,1.14671,1.0268,0.0009505,0.0009505,0.0009505
7,2050.75,1.495,1.29542,1.04777,0.46414,0.38156,0.35609,0.21123,1.36905,1.12414,1.01592,0.0009406,0.0009406,0.0009406
8,2347.65,1.48424,1.27051,1.04278,0.471,0.39744,0.36901,0.21621,1.36935,1.11503,1.01675,0.0009307,0.0009307,0.0009307
9,2623.86,1.48661,1.26526,1.04034,0.47814,0.39326,0.37235,0.22052,1.36491,1.11247,1.01534,0.0009208,0.0009208,0.0009208
10,2911.35,1.47823,1.25117,1.0407,0.46587,0.40559,0.37716,0.22071,1.36763,1.11805,1.0122,0.0009109,0.0009109,0.0009109
11,3198.37,1.46866,1.22554,1.03375,0.48277,0.39458,0.37881,0.22125,1.37175,1.10341,1.01792,0.000901,0.000901,0.000901
12,3482.01,1.45635,1.21699,1.03286,0.49293,0.40954,0.39079,0.22948,1.35721,1.07317,1.00902,0.0008911,0.0008911,0.0008911
